,中文,English
8332,损害,damage
8333,乱搞,Fucks
8334,监视器,Monitor
8335,自尊,Self-esteem
8336,咪咪,Mimi
8337,比喻,simile
8338,絋,So
8339,安东,Anton
8340,外交,diplomatic
8341,判,Judgement
8342,期限,the term
8343,梅根,Megan
8344,群众,the masses
8345,脉搏,pulse
8346,捕猎,Hunting
8347,根本就是,It's simply
8348,遇害,Killed
8349,庇护,shelter
8350,巨型,Giant
8351,麦克风,microphone
8352,峡谷,canyon
8353,時間軸,timeline
8354,补给,supply
8355,富人,Rich
8356,不惜一切,At All Costs
8357,后代,Descendants
8358,每日,daily
8359,代号,Code
8360,守护者,Guardian
8361,狂野,Wild
8362,棍子,stick
8363,幾,A few
8364,頭,head
8365,发了,Sent
8366,創造,Creation
8367,雷诺,Renault
8368,柯南,Conan
8369,时空,Space and Time
8370,充电,Charge
8371,粮食,food
8372,跌倒,fall
8373,魔术师,magician
8374,传到,Send to
8375,转动,Rotation
8376,政权,regime
8377,命中注定,Destined
8378,累死,Tired to death
8379,音乐家,musician
8380,甚,very
8381,值班,On Duty
8382,老娘,Old lady
8383,窝,nest
8384,雷蒙,Raymond
8385,我犯,I am guilty
8386,缝,Seam
8387,塞进,Stuff in
8388,十字,Cross
8389,煎,fry
8390,安全感,sense of security
8391,里德,Reed
8392,可好,OK
8393,各就各位,"Everyone, take your positions"
8394,弯,bend
8395,一出,One out
8396,运,transport
8397,出海,Going to sea
8398,新聞,News
8399,骆驼,camel
8400,外界,outside world
8401,接著,Next
8402,歇,rest
8403,副作用,side effect
8404,会员,member
8405,不顾,regardless of
8406,惡,Evil
8407,外边,outside
8408,塑料,plastic
8409,突袭,Raid
8410,立马,Immediately
8411,冷血,Cold Blooded
8412,长久,long
8413,確認,Confirm
8414,准,allow
8415,播出,Broadcast
8416,哒,clatter
8417,构成,constitute
8418,玛姬,Maggie
8419,访客,Visitors
8420,懦弱,cowardly
8421,维奇,Vici
8422,轻点,Tap
8423,啥事,What's the matter?
8424,众人,People
8425,學生,student
8426,粉红色,Pink
8427,言语,speech
8428,转换,Conversion
8429,迷恋,Obsession
8430,股份,Shares
8431,权威,authority
8432,猜想,guess
8433,领土,territory
8434,忍者,Ninja
8435,步,step
8436,学费,tuition fee
8437,国度,country
8438,成本,cost
8439,兄弟姐妹,Brothers and sisters
8440,亲亲,Kiss
8441,无权,No rights
8442,银河系,Milky Way
8443,身分,identity
8444,趕快,Hurry up
8445,很差,Very bad
8446,领地,territory
8447,不妥,inappropriate
8448,必,must
8449,患,Suffer from
8450,烟雾,smoke
8451,差點,Handicap
8452,烧伤,burn
8453,丝毫,slightest
8454,弄死,Kill
8455,乌龟,turtle
8456,願,Wish
8457,所能,All
8458,撕裂,Tear
8459,玩儿,play
8460,柔软,soft
8461,假释,Parole
8462,伤人,Hurting
8463,未经,Without
8464,食,Food
8465,呈,Present
8466,滴,drop
8467,轮椅,wheelchair
8468,无敌,Invincible
8469,准备就绪,Get Ready
8470,视野,Field of view
8471,赫克托,Hector
8472,特纳,Turner
8473,鲸,whale
8474,弗斯,Firth
8475,忘不了,Can't forget
8476,活動,Activity
8477,抵押,mortgage
8478,行踪,whereabouts
8479,无家可归,Homelessness
8480,嚼,chew
8481,同性,homosexual
8482,迷你,Mini
8483,烧烤,barbecue
8484,指南,guide
8485,骨灰,Ashes
8486,出击,Attack
8487,洗衣服,do the laundry
8488,每月,per month
8489,离家,Leaving Home
8490,真糟糕,That's terrible.
8491,忧郁,Melancholy
8492,有枪,Have a gun
8493,還想,Still want
8494,課,Lesson
8495,时髦,fashionable
8496,號碼,Number
8497,生日礼物,Birthday Gift
8498,二人,Two people
8499,杀了人,Killed someone
8500,矪,告
8501,丫,Ya
8502,共同点,Commonalities
8503,王位,Throne
8504,照相,Photography
8505,难忘,memorable
8506,一大早,Early in the morning
8507,人想,People want
8508,奧,Austria
8509,難過,Sad
8510,宇航员,astronaut
8511,充滿,Full
8512,墨西哥人,Mexican
8513,窗,window
8514,人造,artificial
8515,参赛,Participation
8516,谜,puzzle
8517,恩怨,resentment
8518,果,fruit
8519,煎饼,Pancakes
8520,不知情,Unaware
8521,与此同时,at the same time
8522,基德,Kidd
8523,团聚,Reunion
8524,二楼,Second floor
8525,霍尔,Hall
8526,越是,The more
8527,美国政府,US Government
8528,桑德拉,Sandra
8529,感想,Thoughts
8530,一日,One Day
8531,搂,hug
8532,人命,Human life
8533,围着,Surrounded
8534,活生生,living
8535,簀,箦
8536,熬,boil
8537,备份,Backup
8538,警署,Police Station
8539,痛恨,Hate
8540,梦境,Dreams
8541,房地产,real estate
8542,戴安娜,Diana
8543,洛斯,Los
8544,海湾,bay
8545,摩,Mount
8546,班上,In class
8547,悄悄,quietly
8548,柜台,counter
8549,莱拉,Leila
8550,太早,Too early
8551,转到,Go to
8552,訓練,Training
8553,莱纳,Rainer
8554,请等一下,Please wait a moment
8555,俱,all
8556,真遗憾,it's a pity
8557,滚出,Get out
8558,推销,sell
8559,药丸,pill
8560,普拉,Pula
8561,强制,Enforcement
8562,莱克,Lake
8563,匆忙,hurry
8564,所长,Director
8565,巧,skillful
8566,子女,child
8567,鲁,Lu
8568,情愿,Willing
8569,跳动,beat
8570,弄出去,Get out
8571,隊長,Captain
8572,先前,previously
8573,失落,Lost
8574,可可,cocoa
8575,殴打,Beating
8576,猎杀,Hunting
8577,优点,advantage
8578,设,set up
8579,打发,Send
8580,女婿,son in law
8581,顯然,Obviously
8582,从而,thereby
8583,解,untie
8584,照料,Care
8585,虚构,imaginary
8586,有鬼,There is a ghost
8587,德國,Germany
8588,再聊,Chat again
8589,好球,nice shot
8590,书店,bookstore
8591,诸位,Everyone
8592,勁,Strong
8593,款,payment
8594,产业,industry
8595,那首歌,That song
8596,能活,Can live
8597,下雪,snow
8598,臀部,Hips
8599,討論,Discuss
8600,草坪,lawn
8601,林先生,Mr. Lin
8602,出庭,Appearance in court
8603,没变,No change
8604,某种程度,To some extent
8605,约翰逊,Johnson
8606,斯塔,Star
8607,住址,address
8608,溜走,slip
8609,迫使,force
8610,命中,Hit
8611,用途,use
8612,签约,Contract
8613,年来,Years
8614,什麼樣,What
8615,本次,This time
8616,唠叨,nagging
8617,破案,Solve the case
8618,冻结,freeze
8619,弗雷,Frey
8620,亲热,affectionate
8621,呼吁,call
8622,体力,physical strength
8623,最糟,Worst
8624,戒,Abstinence
8625,顺着,Follow
8626,何方,Where
8627,快上车,Get in the car
8628,摇摆,swing
8629,自大,arrogant
8630,双倍,Double
8631,裹,wrap
8632,不变,constant
8633,瞄,aim
8634,踪迹,trace
8635,罗拉,Rolla
8636,灭,Destroy
8637,告辞,Farewell
8638,亲切,kind
8639,炮弹,Shells
8640,送死,Send to die
8641,探测,Detection
8642,前所未有,Unprecedented
8643,飞往,Fly to
8644,先到,First to arrive
8645,门铃,doorbell
8646,徒弟,apprentice
8647,客,guest
8648,置,Place
8649,觀眾,Audience
8650,四十,forty
8651,十三,Thirteen
8652,招募,recruit
8653,好受,Good
8654,门前,In front of the door
8655,赎金,ransom
8656,呈现,Presentation
8657,支,branch
8658,穿成,Dress
8659,吨,ton
8660,五月,May
8661,打斗,Fight
8662,结了婚,Married
8663,山洞,Cave
8664,冰蓝,Ice Blue
8665,逃生,escape
8666,部署,deploy
8667,安全局,Security Bureau
8668,罚,Penalty
8669,核,nuclear
8670,拦截,Interception
8671,想象力,Imagination
8672,兔崽子,Bastard
8673,特种部队,Special Forces
8674,引力,gravitational
8675,禽兽,Beast
8676,最先,First
8677,叔,Uncle
8678,行政,administrative
8679,恰当,appropriate
8680,记载,Record
8681,送給,Send to
8682,難以,Difficult
8683,无能,inability
8684,演員,Actor
8685,掉头,U-turn
8686,闪亮,Shiny
8687,仇,hatred
8688,圣地亚哥,San Diego
8689,芭,Ba
8690,幾天,A few days
8691,卡罗尔,Carol
8692,出国,Going Abroad
8693,输掉,Lose
8694,答复,reply
8695,进出,In and Out
8696,让你在,Let you
8697,收购,Acquisitions
8698,收费,TOLL
8699,伯伯,uncle
8700,兄弟会,fraternity
8701,孙女,granddaughter
8702,蠂,Locust
8703,夺回,recapture
8704,谷仓,barn
8705,家属,Dependents
8706,无趣,Boring
8707,美分,Cents
8708,算不上,Not really
8709,仪器,instrument
8710,大侠,Hero
8711,瑜伽,Yoga
8712,莫里斯,Morris
8713,好想你,I miss you so much
8714,耳环,earrings
8715,雇员,employee
8716,几张,A few
8717,火花,spark
8718,解药,Antidote
8719,与否,or not
8720,谴责,condemn
8721,不看,Don't watch
8722,哔,Beep
8723,收留,Shelter
8724,落入,fall into
8725,泰瑞,Terry
8726,晃,shake
8727,勃起,erection
8728,乳头,nipple
8729,乱说,Nonsense
8730,故乡,home
8731,学者,scholar
8732,一包,One pack
8733,拿些,Take some
8734,回顾,review
8735,善,good
8736,平台,platform
8737,據,According to
8738,不放,Don't let go
8739,立,stand
8740,主持人,host
8741,真美,Really beautiful
8742,成天,All day
8743,初次,First time
8744,活得,Live
8745,手册,manual
8746,假发,wig
8747,维修,repair
8748,打理,Care
8749,测验,test
8750,奥巴马,Obama
8751,海军陆战队,Marine Corps
8752,露丝,Ruth
8753,打动,move
8754,无疑,undoubtedly
8755,得逞,Succeed
8756,志愿者,volunteer
8757,比不上,Not as good as
8758,米克,Mick
8759,带有,With
8760,莫名其妙,baffling
8761,冠,crown
8762,允許,Allow
8763,阿瑟,Arthur
8764,单单,only
8765,跨越,Cross
8766,航线,route
8767,达拉斯,Dallas
8768,太近,Too close
8769,无力,Weakness
8770,浪費,Waste
8771,壮观,Spectacular
8772,会计,Accounting
8773,演习,exercise
8774,巫术,witchcraft
8775,厨艺,Cooking
8776,信赖,trust
8777,神明,Gods
8778,木偶,puppet
8779,篮球,basketball
8780,洒,sprinkle
8781,迷宫,maze
8782,蔓延,spread
8783,国土,land
8784,抗争,Fight
8785,口径,caliber
8786,植入,Implantation
8787,宣称,claim
8788,律師,Lawyer
8789,树枝,Branches
8790,合并,merge
8791,追寻,search
8792,借钱,Borrowing money
8793,中弹,Hit
8794,这周,This week
8795,车牌,License Plate
8796,合唱团,Choir
8797,人为,Human
8798,坏掉,Broken
8799,弟兄们,Brothers
8800,伊凡,Ivan
8801,香味,fragrance
8802,饒,Spare
8803,花朵,Flowers
8804,將,will
8805,西尔,Searle
8806,幼儿园,kindergarten
8807,片段,Snippet
8808,拉尔夫,Ralph
8809,隊,Team
8810,握住,hold
8811,这首,This
8812,诺亚,Noah
8813,坦诚,Honesty
8814,那颗,That
8815,岁月,years
8816,理会,Understand
8817,展览,exhibition
8818,坐坐,Sit down
8819,窃听,tapping
8820,可耻,shameful
8821,背部,Back
8822,品尝,taste
8823,幸運,lucky
8824,按住,Press and hold
8825,报案,Report a crime
8826,恕我直言,IMHO
8827,菊花,chrysanthemum
8828,作对,To do the opposite
8829,想必,presumably
8830,外头,Outside
8831,一脚,One foot
8832,大家伙,Big Guy
8833,责备,blame
8834,艾略特,Eliot
8835,虽说,although
8836,還不,Not yet
8837,其次,Secondly
8838,吵死,Noisy
8839,与其,With
8840,粒子,particle
8841,看穿,see through
8842,纽约市,New York City
8843,压抑,Depression
8844,整体,overall
8845,瓦斯,gas
8846,露,dew
8847,小伙,Guy
8848,争议,dispute
8849,游荡,Wandering
8850,灰尘,dust
8851,废弃,Deprecated
8852,第三季,Season 3
8853,去取,Go to get
8854,大桥,Bridge
8855,新手,Newbie
8856,烦死,Annoying
8857,停电,power failure
8858,挣钱,Earn Money
8859,报应,retribution
8860,高层,High level
8861,癒,heal
8862,实情,The truth
8863,当个,When
8864,抉择,Choice
8865,动身,leave
8866,生来,Born
8867,堵住,Block
8868,高大,tall
8869,士,scholar
8870,无尽,Endless
8871,公事,Official business
8872,爱着,Love
8873,真为,True
8874,新泽西,New Jersey
8875,帮上,Help
8876,哗,Wow
8877,奉,Feng
8878,头号,Number One
8879,熟人,acquaintance
8880,派遣,send
8881,估,estimate
8882,耶路撒冷,Jerusalem
8883,港,port
8884,当场,on the spot
8885,正经,serious
8886,一丝,A trace
8887,塔斯,Tas
8888,枪毙,Shot
8889,转转,Turn around
8890,摆在,Posing
8891,在世界上,In the world
8892,四月,April
8893,减轻,Mitigation
8894,核武器,nuclear weapon
8895,面孔,face
8896,但别,But don't
8897,走近,Approach
8898,戒酒,Stop drinking
8899,关进,Seal
8900,修正,Correction
8901,过日子,Live
8902,签个,Sign
8903,那幅,That
8904,所见,What I See
8905,友情,Friendship
8906,洛伊,Roy
8907,学期,semester
8908,好家伙,Good Guy
8909,娘养,Mother
8910,大笑,laughing out loud
8911,入住,Check-in
8912,后座,Backseat
8913,孔,hole
8914,喬,Joe
8915,活跃,active
8916,我放,I put
8917,脑,brain
8918,可比,comparable
8919,伊万,Ivan
8920,等级,grade
8921,沉睡,Sleep
8922,那块,That piece
8923,健身房,Gym
8924,头顶,Overhead
8925,诺言,promise
8926,叶子,leaf
8927,每隔,Every
8928,電話給,Phone
8929,小混蛋,Little bastard
8930,三百,three hundred
8931,被关,Locked up
8932,我馬上,I will
8933,顶尖,top notch
8934,整夜,All night
8935,打牌,play cards
8936,鹿,deer
8937,法医,Forensics
8938,体贴,Thoughtful
8939,对决,Showdown
8940,口信,Message
8941,瑞格,Rig
8942,片刻,moment
8943,电子邮件,e-mail
8944,黑手党,mafia
8945,突击,assault
8946,私奔,elopement
8947,造型,modeling
8948,謊,Lie
8949,阿拉斯加,Alaska
8950,飓风,hurricane
8951,驾驶员,Driver
8952,伤痕,Scars
8953,绰号,nickname
8954,损伤,damage
8955,威尔逊,Wilson
8956,下定决心,Be determined
8957,处罚,Penalties
8958,公牛,bull
8959,伺候,Serve
8960,裁决,ruling
8961,酸,acid
8962,徘徊,Wandering
8963,章,chapter
8964,猪头,Pig head
8965,意識,Consciousness
8966,女佣,maid
8967,梦幻,dream
8968,记号,mark
8969,以至于,So that
8970,捧,Hold
8971,上士,Sergeant
8972,打赢,Win
8973,移植,transplant
8974,不怎么样,Not so good
8975,县,county
8976,韩,Korea
8977,不下,No less
8978,捉住,Catch
8979,波斯,Persia
8980,说来话长,It’s a long story
8981,号房,Room No.
8982,诸神,Gods
8983,很感兴趣,Very interested
8984,博拉,Bora
8985,营救,rescue
8986,往事,past
8987,牢里,Jail
8988,圣灵,Holy Spirit
8989,面对现实,Facing reality
8990,拨打,Call
8991,旋律,melody
8992,博客,blog
8993,无法忍受,Unbearable
8994,怀抱,embrace
8995,出入,Access
8996,做過,Have done
8997,时常,often
8998,剧,drama
8999,任性,capricious
9000,桑尼,Sonny
9001,他长,He is long
9002,抖,shake
9003,叉,fork
9004,厄,Er
9005,规律,law
9006,証,certificate
9007,人格,Personality
9008,抬头,look up
9009,找寻,Search
9010,瘫痪,paralysis
9011,转弯,Turning
9012,几十年,Decades
9013,人头,Head
9014,康,Kang
9015,艾拉,Ella
9016,節目,Program
9017,碰头,Meet
9018,你還,You also
9019,請問,Please ask
9020,答,answer
9021,很近,Very close
9022,敬礼,salute
9023,不該,Shouldn't
9024,买单,Buy Order
9025,父王,Father
9026,寄来,Send
9027,天知道,God knows
9028,設計,design
9029,教书,Teaching
9030,記者,Journalist
9031,我活,I live
9032,没干,No
9033,此处,Here
9034,碭,Dang
9035,十万,"100,000"
9036,奔跑,run
9037,面对面,Face to Face
9038,莱斯,Rice
9039,交流学习,Exchange and learning
9040,猫咪,Cat
9041,螟,Borer
9042,发光,Luminescence
9043,卡罗,Carlo
9044,收据,Receipt
9045,在此之前,Before that
9046,氣,Qi
9047,上床睡觉,Go to bed
9048,试一试,Give it a try
9049,罵,Curse
9050,熊猫,panda
9051,刘易斯,Lewis
9052,族,Family
9053,盈利,profit
9054,拿破仑,Napoleon
9055,不至于,Not
9056,巴德,Bard
9057,旁邊,Next to
9058,另一只,The other
9059,上岸,Going ashore
9060,能比,Energy
9061,房东,landlord
9062,輕人,Young People
9063,冇,without
9064,如果说,If you say
9065,情妇,mistress
9066,莉娜,Lina
9067,恳求,Plea
9068,上方,Above
9069,达斯,Das
9070,水下,Underwater
9071,奏效,It works
9072,好美,What a nice view
9073,忙碌,Busy
9074,多个,Multiple
9075,太郎,Taro
9076,退学,Drop out of school
9077,手续,formalities
9078,走动,Move around
9079,全靠,All thanks
9080,尽我所能,Do my best
9081,并未,No
9082,撕,tear
9083,樱桃,cherry
9084,自我介绍,Self-introduction
9085,嘞,Le
9086,权限,Permissions
9087,朱迪,Judy
9088,狀態,condition
9089,花生,peanut
9090,之战,Battle
9091,逛,visit
9092,镇静,Sedation
9093,梅尔,Mel
9094,粗,thick
9095,痊愈,get well
9096,吻合,Match
9097,请教,consult
9098,防线,Defense
9099,地窖,cellar
9100,复活节,Easter
9101,保险公司,Insurance companies
9102,不当,improper
9103,打到,Hit
9104,不上,No
9105,歹徒,Gangster
9106,挚爱,Love
9107,冒出来,Pop up
9108,亚特兰大,Atlanta
9109,荣誉出品,Honorable Products
9110,科特,Cote
9111,惊慌,panic
9112,狀況,Situation
9113,激活,activation
9114,皊,博
9115,動物,animal
9116,江湖,Jianghu
9117,新年快乐,Happy New Year
9118,省省,Save
9119,竞赛,competition
9120,惊吓,Fright
9121,現實,Reality
9122,远处,far away
9123,迪伊,Dee
9124,强暴,Rape
9125,要給,To give
9126,自卫,Self-defense
9127,强硬,tough
9128,后果自负,At your own risk
9129,新鲜空气,Fresh Air
9130,听得见,Audible
9131,垫,pad
9132,含义,meaning
9133,车票,ticket
9134,豆腐,Tofu
9135,绑起来,Tie Up
9136,内特,Nate
9137,瞪,stare
9138,深爱,Deep Love
9139,頗,Quite
9140,战机,Fighter
9141,布兰登,Brandon
9142,怀里,Arms
9143,刻薄,mean
9144,问起,Ask
9145,无耻,Shameless
9146,淹没,Submerged
9147,坏话,Bad Words
9148,折腾,toss
9149,电击,electric shock
9150,不及,Not as good as
9151,嘉宾,Guests
9152,艺人,artist
9153,草地,grassland
9154,妳是,You are
9155,隐蔽,hidden
9156,华特,Walt
9157,中东,middle East
9158,华尔街,Wall Street
9159,激励,excitation
9160,隨時,Anytime
9161,愧疚,Guilt
9162,缉毒,Drug Enforcement
9163,胜任,competent
9164,中毒,Poisoning
9165,童话,fairy tale
9166,三角,Triangle
9167,某個,A
9168,趴,lie
9169,皮埃尔,Pierre
9170,蜥蜴,lizard
9171,一发,One shot
9172,怀,Pregnant
9173,罗尼,Ronnie
9174,加把劲,Work harder
9175,人工,Artificial
9176,付款,Payment
9177,村长,village head
9178,测量,Measurement
9179,太慢,Too slow
9180,田,field
9181,超时空,Hyperspace
9182,赞助,sponsor
9183,那栋,That building
9184,这台,This
9185,舞伴,Dance partner
9186,我生,I am born
9187,聲,Sound
9188,漏洞,Vulnerabilities
9189,人來,People come
9190,哪天,Which day
9191,快感,Pleasure
9192,通通,all
9193,鳥,bird
9194,暴徒,thug
9195,小妹妹,Little Sister
9196,出發,Departure
9197,崭新,Brand new
9198,失效,Invalidation
9199,回电,Call back
9200,设想,Assumption
9201,汉,Chinese
9202,起身,Get up
9203,有话要说,I have something to say
9204,打出,Type
9205,凤凰,Phoenix
9206,上瘾,Addiction
9207,脚印,footprint
9208,唱得,Sing
9209,模特儿,Model
9210,夏季,summer
9211,旅館,Hotel
9212,退缩,Retreat
9213,一滴,One drop
9214,咒,curse
9215,内森,Nathan
9216,湾,Bay
9217,漏,leak
9218,真可怜,So pitiful
9219,此案,The case
9220,致死,lethal
9221,份子,Molecules
9222,小看,Underestimate
9223,珊瑚,coral
9224,心臟,Heart
9225,藏身,Hiding
9226,马可,Marco
9227,胡,Hu
9228,发脾气,loose the temper
9229,来杯,Have a cup
9230,可用,Available
9231,许,May
9232,大餐,Meal
9233,母,mother
9234,岗位,post
9235,下星期,Next week
9236,这支,This
9237,受够,Enough
9238,困在,Trapped
9239,混账,Bastard
9240,太空船,Spaceship
9241,规划,planning
9242,撒謊,Lying
9243,纪念品,souvenir
9244,裂缝,crack
9245,过错,fault
9246,超自然,supernatural
9247,哈克,Hack
9248,电视机,TV set
9249,震动,shock
9250,打火机,lighter
9251,热水,Hot water
9252,图案,pattern
9253,索菲,Sophie
9254,琪,Qi
9255,奶牛,dairy cow
9256,這點,This point
9257,点击,Click
9258,上車,Get on the bus
9259,睇,Watch
9260,泡沫,Foam
9261,空调,air conditioner
9262,欲,want
9263,腹,belly
9264,残骸,wreckage
9265,削减,reduce
9266,斯塔克,Stark
9267,瑞恩,Ryan
9268,带回去,Take it back
9269,情人节,Valentine's Day
9270,大军,Army
9271,虎,Tiger
9272,配不上,Not worthy
9273,口水,saliva
9274,酒保,Bartender
9275,高中生,High School Students
9276,药品,drug
9277,破壞,destroy
9278,鹦鹉,Parrot
9279,轰炸机,bomber
9280,伯恩,Bourne
9281,宋,Song
9282,兰德,Rand
9283,发音,pronounce
9284,庆典,celebration
9285,拉开,Pull apart
9286,随机,random
9287,底,end
9288,公,male
9289,七月,July
9290,肚子饿,Hungry
9291,凡事,Everything
9292,奶,Milk
9293,哪去,Where to go
9294,匕首,dagger
9295,这起,This
9296,不斷,Constantly
9297,浩,Hao
9298,中止,abort
9299,变形,Deformation
9300,一类,Category I
9301,畏惧,fear
9302,达尔,Dahl
9303,當你,When you
9304,生前,Before death
9305,眼下,at the moment
9306,废墟,ruins
9307,千年,millennium
9308,最終,Final
9309,有幸,Fortunately
9310,疲惫,exhausted
9311,纠结,Tangled
9312,挑剔,Picky
9313,加快,accelerate
9314,背面,back
9315,真没想到,I didn't expect it
9316,問問,Ask
9317,卡门,Carmen
9318,硄,sinter
9319,银,silver
9320,渣,Slag
9321,孽,evil
9322,警惕,alert
9323,桃子,peach
9324,人马,Centaur
9325,這場,This
9326,一两个,One or two
9327,提取,extract
9328,液体,liquid
9329,冰激凌,Ice cream
9330,新奥尔良,New Orleans
9331,举止,manner
9332,腹部,abdomen
9333,召开,Convening
9334,龙虾,lobster
9335,暴躁,irritable
9336,庭上,In court
9337,问题所在,The Problem
9338,政治家,politician
9339,伤疤,scar
9340,侦察,reconnaissance
9341,切除,resection
9342,踢球,Playing football
9343,添麻烦,Cause trouble
9344,油漆,paint
9345,国防部,Ministry of National Defense
9346,我成,I am
9347,体系,system
9348,卡利,Cali
9349,尼娜,Nina
9350,聪明人,Smart People
9351,心事,Heart
9352,這一點,This point
9353,认错,Admit Mistakes
9354,拔,pull
9355,内尔,Nell
9356,赐,bestow
9357,价,price
9358,心烦,Upset
9359,授予,Grant
9360,即刻,immediately
9361,记下来,Write it down
9362,南非,South Africa
9363,黛西,Daisy
9364,知晓,Know
9365,挖出,Dig out
9366,捐,donate
9367,藉口,Excuse
9368,我选,I choose
9369,无赖,Rogue
9370,来来来,Come come come
9371,泡妞,Picking Up Girls
9372,增强,Enhancement
9373,培根,Bacon
9374,格斗,Fighting
9375,调用,Call
9376,碰撞,collision
9377,纠正,correct
9378,数据库,database
9379,聚在一起,Get Together
9380,看似,Seemingly
9381,真能,Really capable
9382,法西斯,Fascism
9383,小猪,piggy
9384,回国,Return to China
9385,阿杰,Ajay
9386,亿美元,100 million US dollars
9387,农夫,farmer
9388,相当于,Equivalent to
9389,得意,proud
9390,爱好者,Enthusiasts
9391,脫,Take off
9392,繁殖,Reproduction
9393,渡过,Cross
9394,乡巴佬,Country Bum
9395,决不会,Never
9396,带路,lead the way
9397,鲁莽,reckless
9398,怨恨,resentment
9399,搜集,collect
9400,地獄,Hell
9401,斯坦利,Stanley
9402,赛斯,Seth
9403,竞技场,arena
9404,抑制,inhibition
9405,钢铁,Steel
9406,布洛克,Brock
9407,祭,sacrifice
9408,落到,Fall to
9409,已知,Known
9410,辣妹,Hot Girls
9411,对准,alignment
9412,天主,God
9413,挺住,Hold on
9414,疑惑,Confuse
9415,酒馆,Pub
9416,冒昧,Presumptuous
9417,台阶,Stairs
9418,偿还,repay
9419,認,Recognize
9420,我数,I count
9421,拉克,Lark
9422,作案,Committing a crime
9423,看不起,despise
9424,扩散,diffusion
9425,午安,good afternoon
9426,犬,dog
9427,身亡,Death
9428,劈,hack
9429,雪梨,Sydney
9430,随心所欲,Follow your heart
9431,布鲁诺,Bruno
9432,暗号,signal
9433,战友,Comrades
9434,自责,Self-blame
9435,令人兴奋,Exciting
9436,包包,Bags
9437,点半,1:30
9438,再生,regeneration
9439,坐飞机,By plane
9440,蚊子,mosquito
9441,改编,adaptation
9442,妒忌,jealous
9443,公尺,meter
9444,诺夫,Nof
9445,想不起来,Can't remember
9446,启发,Inspiration
9447,大都会,metropolis
9448,补,repair
9449,收钱,Collect money
9450,清空,Clear
9451,适用,Applicable
9452,来信,Letter
9453,观念,Concept
9454,我愿,I wish
9455,尼古拉斯,Nicholas
9456,杰弗里,Jeffrey
9457,知情,Informed
9458,超過,Exceed
9459,忠心,loyalty
9460,弗林特,Flint
9461,走来,Come
9462,奈,Chennai
9463,发电机,dynamo
9464,演示,Demo
9465,大块头,Big Guy
9466,社团,Societies
9467,无助,helpless
9468,中途,halfway
9469,神灵,Spirits
9470,詞,Word
9471,那笔,That pen
9472,进度,schedule
9473,提早,Early
9474,英國,UK
9475,軍隊,Military
9476,辛格,Singh
9477,案例,Case
9478,焦点,focus
9479,太阳系,Solar System
9480,围巾,scarf
9481,斯托,Stowe
9482,后台,Backstage
9483,面部,Face
9484,契约,contract
9485,关灯,Turn off the lights
9486,剧终,End
9487,寄生虫,parasites
9488,叛军,Rebels
9489,开花,flowering
9490,关照,care
9491,当选,Elected
9492,杰里,Jerry
9493,杰斯,Jess
9494,娜塔莎,Natasha
9495,兽,beast
9496,言论,Speech
9497,沒見過,Never seen
9498,愚弄,Fooling
9499,营业,Business
9500,姜,ginger
9501,两件事,Two things
9502,流放,exile
9503,有家,Have a home
9504,先别,Don't
9505,里尔,Lille
9506,群体,group
9507,爪子,paw
9508,债,debt
9509,程式,Programs
9510,私生子,illegitimate child
9511,歪,crooked
9512,罐头,can
9513,叹息,sigh
9514,塞斯,Seth
9515,仍旧,Still
9516,致,To
9517,球迷,fan
9518,求助,Help
9519,子民,People
9520,绷带,bandage
9521,轻微,slight
9522,团伙,Gang
9523,便会,will
9524,自找,Find it yourself
9525,有助于,Helps
9526,湖边,Lakeside
9527,阿德,Ade
9528,漫步,stroll
9529,他現,He now
9530,明信片,postcard
9531,驚,shock
9532,传球,Passing
9533,应用,application
9534,爱尔兰人,Irish
9535,条约,treaty
9536,教士,Priest
9537,军火,arms
9538,用作,Use as
9539,斯隆,Sloan
9540,内心深处,Deep inside
9541,艰苦,hard
9542,流动,flow
9543,后备箱,Trunk
9544,计时,Timing
9545,告发,Report
9546,用枪,With a gun
9547,畢業,Graduate
9548,前台,front desk
9549,相當,Quite
9550,报名,Sign up
9551,班长,Monitor
9552,哈妮,Honey
9553,從來,Never
9554,别介意,Never mind
9555,莫妮卡,Monica
9556,更改,Change
9557,小兰,Xiaolan
9558,成分,Element
9559,马尔科,Marco
9560,法國,France
9561,猛烈,violent
9562,改成,Change to
9563,马赛,Marseille
9564,发狂,Crazy
9565,注入,injection
9566,更衣室,locker room
9567,监护人,guardian
9568,道格拉斯,Douglas
9569,放出,release
9570,解剖,Anatomy
9571,董事,director
9572,真面目,true colors
9573,一度,one time
9574,银河,Galaxy
9575,真令人,It's really amazing
9576,沃德,Ward
9577,听众,audience
9578,碰过,Touched
9579,患有,Suffer from
9580,木,Wood
9581,小路,The Trail
9582,澄清,clarify
9583,拉拉,Lala
9584,单词,word
9585,抢走了,Snatched away
9586,犯规,foul
9587,当上,When
9588,不久前,Not long ago
9589,同學,Classmate
9590,预知,Precognition
9591,全力以赴,Go all out
9592,属,Genus
9593,坦白说,Frankly speaking
9594,暮,twilight
9595,靠着,Lean on
9596,内阁,cabinet
9597,肿瘤,Tumor
9598,快递,express delivery
9599,四分,Four points
9600,营养,Nutrition
9601,胡說,Nonsense
9602,汽車,Car
