中文,English
排除,exclude
召集,convene
模样,appearance
外国,foreign
阴茎,penis
酒鬼,drunkard
操心,worry
指着,Pointing
寒冷,cold
汉克,Hank
慢着,Slow down
一身,One
马特,Matt
旧金山,San Francisco
北部,North
希腊,Greece
扫描,scanning
一圈,One circle
看起,Look
戴尔,Dell
好友,Friends
终结,End
老弟,Brother
有点儿,kind of
犹豫,hesitate
场面,scene
伪装,camouflage
心理医生,Psychologist
不理,ignore
目標,Target
牢房,cell
丑,ugly
实力,strength
把戏,Trick
纯粹,purely
報告,report
朱莉,Julie
侵犯,Infringement
丸,pill
乡下,countryside
例外,exception
湖,lake
罗伊,Roy
传播,spread
块钱,Dollars
赣,Gan
餓,hunger
戳,stamp
指责,Accusations
各地,Various places
芭芭拉,Barbara
收音机,radio
领带,tie
核心,core
途径,way
命名,name
滾,Roll
人要,People want
类,kind
弹药,ammunition
团结,Unity
黑帮,Gangster
忏悔,repent
晚会,Evening Party
眼光,vision
前线,front
扁,flat
上船,Get on board
别去,Don't go
有利,favorable
可乐,Cola
改天,Another Day
惹麻烦,Cause trouble
正直,upright
靴子,boots
龟,turtle
电视台,Television
看不出,Can't see
维护,maintain
边界,boundary
四周,Four weeks
视线,Sight
一阵,A while
路过,Passing by
污染,pollute
明晚,Tomorrow night
写作,writing
中学,Middle School
国内,domestic
渡,Ferry
电报,telegraph
哈哈哈,Hahaha
不利,unfavorable
未來,future
论文,paper
风景,landscape
额外,additional
传送,Teleport
两者,Both
幼稚,childish
电,electricity
基督徒,Christian
解散,Disband
山谷,valley
出版,publishing
依,according to
帕特,Pat
友善,friendly
艾比,Abby
而战,Fight
闭上眼睛,Close your eyes
埃迪,Eddie
吓唬,frighten
蝴蝶,Butterfly
德语,German
一组,A group
男女,men and women
争论,debate
七个,Seven
拉斯维加斯,Las Vegas
得以,be able to
我心,My heart
泄露,Give way
乘,take
遗嘱,will
你給,You give
媽的,Damn
钟,bell
获胜,Winning
谣言,rumor
忽略,neglect
单纯,simple
跑掉,Run away
荷兰,Netherlands
賺,Earn
黛,Dai
分散,dispersion
狠狠,fiercely
团,group
爲,for
尾巴,Tail
非要,Must
里头,Inside
展现,Show
惠,benefit
诡异,Weird
讯息,message
哩,Mile
曲子,song
某处,somewhere
充分,full
多钱,How much money
担任,Responsible
怎会,How come?
安息,rest in peace
端,end
问候,greeting
订,order
后门,back door
提过,Mentioned
那段,That part
奖,award
喂喂,Hello
内疚,Guilt
帅,handsome
拿给,Give
避开,Avoid
裸体,nude
一时,For a while
倍,times
人有,People have
寄给,Send to
少爷,Master
未婚妻,fiancée
凯莉,Kelly
露出,Expose
恕,Forgiveness
青年,youth
观赏,Watch
悲惨,tragic
挤,squeeze
反击,Fighting Back
新生,newborn
負責,responsible
别跑,Don't run
与众不同,Different
传给,Pass to
尚未,Not Yet
排队,queue
画画,draw
不感兴趣,Not interested
把握,grasp
笆,fence
臺,Taiwan
适当,appropriate
七年,Seven years
洞穴,cave
振作,Cheer up
生长,Growth
马修,Matthew
制度,system
真他妈,Damn it
摄影,photography
蔬菜,vegetable
客厅,living room
疑犯,Suspect
色情,pornography
麵,Noodles
不管怎么,No matter what
枪击,Shooting
途中,en route
前妻,Ex-wife
此地,here
公斤,Kilogram
孤儿,orphan
维克多,Victor
着急,in a hurry
打猎,hunt
费城,Philadelphia
巴里,Barry
赞美,praise
人选,Candidates
节奏,Rhythm
住嘴,Shut up
秈,Nei
得来,Get
狂欢,carnival
玛格丽特,Margaret
耻辱,shame
方,square
喜,happiness
黎明,dawn
存活,Survival
滑,slip
疑问,doubt
花费,spend
分鐘,minute
睡衣,pajamas
外公,Grandfather
毒,poison
想得到,Want to
决心,determination
奉献,Dedication
魔力,magic
实施,Implementation
前方,Ahead
古巴,Cuba
没到,Not yet
總是,Always
倾向,tendency
保镖,bodyguard
大会,General Assembly
荡妇,Slut
米歇尔,Michelle
我還,I also
料到,expect
表哥,cousin
多大,How big
甩掉,Get rid of
真好,very nice
降低,reduce
别傻了,Don't be silly
提示,hint
怀特,White
癡,Stupid
快快,Quick
没空,No time
亲近,Close
成人,aldult
音樂,music
以此,With this
轮胎,tire
出院,Discharge
两杯,Two cups
被判,Sentenced
挑选,Selection
名人,celebrity
碰巧,happen
讯号,Signal
教师,teacher
看清楚,See clearly
排练,rehearse
指甲,nail
成年人,Adults
隐私,privacy
枪声,Gunshot
苍蝇,fly
放棄,give up
这能,This can
打个招呼,Say hello
二十年,Twenty years
蠢蛋,Idiot
毒药,poison
不用说,Needless to say
真话,The truth
早期,Early
握手,shake hands
就此,On this
考,Test
犯错,Making Mistakes
过于,too
里奇,Richie
维克,Vic
舱,cabin
浴缸,tub
种子,seed
瓳,瓍
北,north
戏剧,drama
粄,Pancake
好心,Goodwill
沾,Dip
看過,Viewed
这间,This room
贡献,contribute
看得出来,It can be seen
祈求,pray
过后,Afterwards
读过,Read
炳,Bing
烧掉,Burn
吉尔,Jill
碗,bowl
优雅,grace
狡猾,cunning
瀑布,Fall
一封,one letter
融化,melt
不快,unhappy
行程,journey
改造,Renovation
计程车,taxi
鸽子,Pigeon
羡慕,envious
伏特加,Vodka
深深,deeply
狥,Good
游,tour
头痛,Headache
咪,Mimi
齐,together
病房,Ward
告,tell
複,complex
光芒,Light
地铁,subway
康复,Rehabilitation
没听说过,Never heard of it
骑马,horse riding
大王,King
雕像,statue
发言,Speech
期,Expect
之旅,Journey
好喝,Delicious
民族,nationality
负责人,Person in charge
汉娜,Hannah
能源,energy
血迹,Blood
提升,promote
找点,Find a spot
抓走,Take away
木头,wood
院长,Dean
一具,one body
乐观,optimism
游泳池,swimming pool
我剛,I just
再谈,Talk again
交出,hand over
两点,Two points
所作所为,What we have done
撤,withdraw
一幅,One
甲板,deck
烧死,Burn to death
宿舍,dormitory
台上,On stage
窗口,window
短暂,short
化学,Chemical
哥们儿,Buddy
破解,Cracking
线路,line
急事,Urgent
遠,Far
葡萄酒,wine
混合,mix
治安,Public Security
积极,positive
陈,List
给钱,Give money
很想,I really want to
配,match
外出,Going Out
女郎,Girl
亚历山大,Alexander
或者说,Or
镑,pound
怪怪的,Weird
服务员,waiter
打球,Playing Ball
拉屎,shit
教室,classroom
做人,Being a human being
墨菲,Murphy
布鲁克林,Brooklyn
海豚,dolphin
較,Compare
間,between
崔,Cui
目击者,eyewitness
礼服,Dress
一篇,One
因素,factor
计算机,computer
压制,suppress
编辑,edit
當,when
结构,structure
蒙,Mongolian
哈维,Harvey
挽救,save
措施,measure
堕落,Fall
遗产,heritage
演戏,acting
控告,Accusation
小费,tip
弗雷迪,Freddy
腊,wax
脚下,Underfoot
画家,painter
以往,in the past
预感,Premonition
堡,Fort
杰,Jay
小便,Urinating
滑稽,funny
胸,chest
别墅,villa
卡洛斯,Carlos
司令,commander
迟早,sooner or later
医学,medicine
收养,adoption
下士,corporal
手腕,wrist
圣母,Our Lady
影视,Film and Television
一口气,One breath
维斯,Weiss
天呀,Oh my god
输入,enter
没带,No
进化,evolution
地步,Step
一系列,A series
贝蒂,Betty
追逐,chase
甜点,dessert
卡片,card
治,rule
办到,Do it
督察,Inspector
一到,Once arrived
争吵,quarrel
行业,industry
碎,broken
噪音,noise
整件事,The whole thing
游客,Visitors
事务所,Firm
呻吟,moan
小弟,Little Brother
琳,Lynn
那年,That Year
一匹,One
上台,Going on stage
季节,season
车库,garage
环,ring
机长,captain
艾德,Ed
偷看,peep
斯巴达克斯,Spartacus
夏洛特,Charlotte
找人,Find someone
光荣,glory
塊,Block
文字,Word
姨妈,aunt
管用,It works
时尚,Fashion
裡面,Inside
待命,Standby
违背,Violation
第三个,The third
钮,button
願意,Willing
处置,Disposal
老家伙,Old guy
决赛,finals
到哪去,Where to go
鸡肉,chicken
企鹅,penguin
疏散,evacuation
搶,snatch
沃特,Walter
大便,Stool
委托人,Client
一无所有,Nothing
说了算,The final word
遊戲,Games
真够,That's enough
纯洁,pure
五十,Fifty
格里,Gerry
果汁,juice
他妈,Fuck
回合,round
出场,Prominence
天亮,Dawn
想想看,Think about it
任務,Mission
经,through
艾莉,Ellie
几岁,How old
图像,image
监禁,Imprisonment
伪造,Forgery
往常,Usual
收藏,collect
手铐,Handcuffs
撒尿,pee
港口,port
斯汀,Sting
押,Bet
伯格,Berg
正面,front
几时,when
家具,furniture
极,pole
罗比,Robbie
戴维斯,Davis
蛋蛋,Eggs
玩游戏,Play games
祖国,motherland
要点,Key Points
射杀,Shoot
贺,Congratulations
文,arts
行不通,Doesn't work
笑声,laughter
死后,After death
在外,outer
审问,Interrogation
以防,In case
魏,Wei
投诉,complaint
肯尼迪,Kennedy
驾照,drving license
唷,Yo
医师,Physician
早晚,Morning and evening
安保,Security
扣,buckle
指定,Specify
形状,shape
抽屉,drawer
名片,business card
着陆,Landing
一封信,A letter
好戏,Good show
毫无意义,Pointless
挡住,Block
招,trick
嫌疑犯,Suspect
屌,Dick
艾玛,Emma
歌声,singing
模糊,Vague
物,thing
太过,Too much
受苦,suffer
大自然,Nature
军团,Legion
有事吗,What's up
理,reason
动物园,zoo
里奥,Rio
扎克,Zach
赌注,bet
安装,Install
一手,One hand
一流,First-class
布拉,Bra
会为,Will
兰斯,Reims
生死,life and death
乱七八糟,Messy
掩盖,cover
议会,parliament
品味,taste
否則,Otherwise
安德烈,Andrea
狩猎,hunting
帐,account
家中,At home
亚伦,Aaron
丑陋,ugly
服,Clothes
德斯,Des
遗忘,Oblivion
发动机,engine
我哥,My brother
首都,capital
多好,How nice
筿,筿
航行,Sailing
那事,That thing
手法,Technique
报酬,remuneration
盐,Salt
不小,Not small
无情,ruthless
現場,On-site
无限,unlimited
簡直,Straightforward
破烂,tattered
张开,Open
旅途,Journey
銀行,Bank
饥饿,hunger
以便,so that
化妆,make up
版,version
開車,Driving
不多,not much
失业,unemployment
陪伴,accompany
我得,I have to
脑海,Mind
打交道,Dealing with
开关,switch
火山,volcano
酗酒,alcoholism
下个,Next
有關,Related
游行,procession
刀子,knife
局面,situation
赐予,Grant
不满,dissatisfied
多数,most
這事,This matter
空军,air force
名声,reputation
当局,authorities
瑞,Rui
过头,Overdoing
创意,Creativity
快给我,Give it to me now
古,antiquity
没完,Not finished
暑假,summer vacation
欢呼,cheer
此时,at this time
打得,Hit
来接,Come and pick up
公共,public
逗,tease
狟,Stubborn
克里,Kerry
别过来,Don't come over here
辐射,radiation
勋章,medal
背上,Back
清单,List
遭,suffered
美人,beauty
言,Word
慈善,charitable
棘手,Tricky
缠,entangle
玛莎,Martha
团体,group
弗雷德,Fred
布里,Bree
几小时,Hours
希,hope
依旧,still
极端,extreme
片子,Film
扇门,Door
来得及,In time
好日子,Good Days
接通,Connect
河流,river
余生,The rest of life
帮派,Gangs
大人物,Big Shot
證明,Prove
无礼,rude
传达,convey
债务,debt
胃口,appetite
犯罪现场,Crime Scene
堵,block
心想,Thought
欧文,Owen
动静,movement
大规模,Large scale
杀戮,Killing
一程,One trip
拘留,detention
下注,Betting
看不出来,Can't tell
代,generation
合,combine
艾尔,Al
蜜蜂,bee
肯尼,Kenny
十个,Ten
干过,Did
诀,Tips
卢卡斯,Lucas
混帐,bastard
这时,At this time
头盔,helmet
扭曲,distortion
过敏,allergy
红酒,wine
自首,Surrender
当天,Today
喜爱,favorite
清洗,Cleaning
橄榄球,football
点心,dessert
跪,kneel
休想,Don't even think about it
装饰,decorate
憎恨,hatred
集中营,Concentration camps
稦,stalks
症,disease
来个,Come
失败者,loser
闪电,lightning
乐子,Fun
狐狸,fox
星系,galaxy
紧急情况,Emergency
国民,national
离去,Departure
世人,The world
借给,Lend
器官,organ
半年,Half a year
毙,shoot
妹,sister
毫不,Not at all
重生,Rebirth
看一看,Take a look
重量,weight
下巴,jaw
十二,twelve
航空,aviation
好久没,Long time no
散,Scatter
葛,Kudzu
举动,move
之王,King
喝水,Drink water
可憐,pitiful
太远,Too far
光线,Light
一切顺利,all the best
宝藏,Treasure
直说,Straight talk
战役,Campaign
潜水,diving
元素,element
三点,Three Points
挣,earn
醒过来,Wake up
这要,This needs
点燃,ignite
那座,That
屍體,Corpse
保释,bail
要钱,Ask for money
本來,Originally
火力,firepower
晚宴,Dinner
竟敢,Dare
火灾,Fire
城镇,town
陆地,land
处决,Execution
夜总会,nightclub
物种,Species
大赛,Competition
触摸,touch
克莱,Clay
想一想,Think about it
制定,Formulate
詹姆士,James
一伙,A group
落下,fall
柑,Mandarin orange
住院,Hospitalization
妮可,Nicole
落后,behind
第一件,The first
首领,leader
要紧,important
信件,letter
杰克逊,Jackson
下落,whereabouts
走上,Go up
他俩,The two of them
特里,Terry
董事会,Board of Directors
体重,weight
引导,guide
宣誓,Oath
平等,equality
草莓,strawberry
一股,One share
处在,In
鸡巴,Dick
那件,That one
暖和,warm
琳达,Linda
陆军,army
記住,Remember
凯利,Kelly
勒索,blackmail
透,through
這么,So
好大,Very big
一場,One
鸭子,Duck
世界末日,The End of the World
謝,Thanks
身子,Body
還記,Remember
取笑,make fun of
天黑,Dark
追杀,Hunt
凯,Kay
魔术,magic
放学,After school
马戏团,circus
工业,industry
我教,I teach
帮手,helper
乐团,Orchestra
德拉,Dela
馅饼,pie
吸引力,Attraction
幕后,Behind the Scenes
虫子,insect
打擾,Bother
雅典娜,Athena
约翰尼,Johnny
独自一人,Alone
侵入,invade
边上,On the edge
毯子,blanket
该是,It is
狙击手,Sniper
相片,photo
左手,Left Hand
传言,Rumor
提名,Nomination
开头,beginning
那辆车,The Car
菲尔德,Field
设施,facility
背着,Carry
何处,where
開槍,Shooting
乳房,breast
第七,seventh
出血,Bleeding
小学,primary school
这栋,This
大叫,Yell
要花,To spend
床单,sheet
世界各地,Around the world
邦,state
多一点,A little more
信封,envelope
伯,Bo
上级,Superior
不出,Not out
解决问题,Solving the problem
還沒有,Not yet
逃出,Escape
妹子,Girl
冷靜,calm down
一看,At a glance
纯,pure
认罪,Confession
大姐,Eldest Sister
公室,office
一條,One
继续下去,Keep going
轰炸,bombing
太美,Too beautiful
男孩子,boy
恐吓,Intimidation
赞,praise
一所,a school
勾引,seduce
日落,Sunset
搬进,Move in
斯蒂芬,stephen
身处,Being
有力,powerful
望远镜,telescope
笼子,cage
玛雅,Maya
送回,Send Back
那张,That one
整,all
活力,vitality
页,Page
小弟弟,Little Brother
佈,Cloth
超出,Beyond
英镑,GBP
水里,Water
树上,On the tree
一双,A pair
太平洋,Pacific Ocean
才华,Talent
布兰,Bran
叹气,sigh
板,plate
解脱,relief
布莱克,Blake
跑步,running
朕,I
有史以来,Ever
忘記,Forget
马蒂,Marty
第六,sixth
恶作剧,mischief
钻,Drill
蹲下,Squat
珊,Shan
情侣,Couple
紧紧,tightly
泳池,Swimming pool
终止,termination
持有,hold
丢失,Lost
第三次,The third time
为难,Dilemma
体会,Experience
斗,fight
我累,I'm tired
伊朗,Iran
挨,suffer
勒斯,Luss
升起,rising
傲慢,arrogant
干涉,put one's oar in
包含,Include
狠,ruthless
放開,Release
缺少,Lack
非凡,extraordinary
每件事,Everything
闪开,Get out of the way
信不信,Believe it or not
不曾,Never
关联,Relevance
一一,all
四点,Four o'clock
威力,power
肉体,flesh
讲讲,Talk
緊,tight
我快,I'm fast
功课,homework
宝贵,valuable
难堪,Embarrassment
快滚,Get lost
咳嗽,cough
万圣节,Halloween
东部,east
一批,A batch
布雷,Bray
意图,intention
好不容易,It's not easy
大使馆,embassy
不配,Unworthy
三号,Number Three
着迷,Obsessed
吸收,absorb
組,Group
马里,Mali
瞶,blind
迷,fan
生氣,anger
尺寸,size
出自,From
雇佣,Employment
预算,Budget
电力,electricity
歌词,lyrics
迷惑,confuse
总理,Prime Minister
战术,Tactics
很累,very tired
精力,energy
睡得,Sleep
国外,foreign
成千上万,Thousands
曼哈顿,Manhattan
惊奇,Surprise
市中心,city ​​center
傻事,Foolish things
表弟,Cousin
穷人,Poor people
一會兒,A moment
再度,once again
十点,Ten o'clock
一拳,One Punch
真让人,Really makes people
弟兄,brother
极限,limit
回见,See you later
朱利安,Julian
化,change
奥利弗,Oliver
开战,Going to War
俺,I
哈尔,Hal
专辑,Album
等着瞧,Wait and see
乱动,Movement
松,loose
公布,Announcement
出动,Dispatching
海底,seabed
改善,improve
何,what
枕头,Pillow
背包,Backpack
笔记,notes
向上,up
粗鲁,Rude
有位,There is a
光临,Visit
责怪,Blame
灰色,grey
觉,Sleep
转向,Steering
牙医,dentisit
索尔,Saul
割,cut
据我所知,As far as I know
活在,Live in
尽全力,Do your best
贱,cheap
转变,change
緊張,nervous
波比,Poppy
身旁,Beside
牌子,brand
碰上,Meet
不合,Inappropriate
云,cloud
很会,Very good
机票,Flights
马歇尔,Marshall
一队,Team One
機器,Machine
學習,learn
随后,Afterwards
夜里,at night
八年,Eight years
社交,social contact
热狗,hot dog
缺,lack
逻辑,logic
暖,warm
抱抱,hug
两张,Two
穆斯林,Muslim
小东西,little things
祝你们,Wish you
万美金,Ten thousand US dollars
联合国,United Nations
再來,Come again
看清,See clearly
夠了,That's enough
動,move
从现在起,From now on
罗宾,Robin
真名,Real name
看守,guard
雪茄,cigar
窗外,Outside the window
摔倒,fall
糊涂,Confused
海水,seawater
有限,limited
最坏,Worst
可别,Don't
警戒,alert
喇叭,trumpet
真的假,True or False
尔斯,Els
小马,pony
碰面,meet
工会,union
秋天,autumn
无罪,Not guilty
甜甜,Sweet
交給,Hand over
滑雪,ski
嫌,Dislike
拳击,boxing
慌,Panic
稍等一下,Wait a mininute
發誓,Swear
标签,Label
柯,Ke
美军,US Army
彩虹,rainbow
哈里斯,Harris
没命,die
最多,most
说句话,Say something
同行,Peers
好棒,Great
定义,definition
見面,Meet
极其,extremely
火鸡,turkey
拒絕,refuse
心思,thought
渭,Wei
一处,One place
乌鸦,crow
当真,really
族人,Tribe
盖尔,Gayle
卡斯,Cass
会合,meet
巴斯,Bath
青少年,teenager
早该,It should have been
推进,Advance
雅各布,Jacob
老哥,Brother
聽到,Hear
开动,start
梦见,dream
建设,Construction
文森特,Vincent
抓狂,Crazy
驱逐,Expulsion
潘,Pan
往前走,Going forward
出狱,Release from prison
很晚,Very late
预期,expected
鼓掌,applaud
运送,transport
忽然,suddenly
围绕,around
妥协,compromise
抚养,Raising
编,Edit
耽误,hold up
贸易,trading
宝石,gem
當我,When I
黑夜,Night
谅谅,Forgive me
一枚,One
成年,adult
心爱,beloved
巴比,Barbie
软件,software
加强,strengthen
活该,You deserve it
步枪,rifle
辩论,debate
总共,Total
扫,sweep
暴风雨,storm
她家,Her home
这本,This
洗个,Wash
堅持,insist
瑞奇,Ricky
特定,specific
极度,extreme
介入,intervention
青蛙,frog
独处,Solitude
凡,Where
意愿,Willingness
不好玩,Not fun
颗,Cell
英勇,heroic
成果,Results
就别,Just don't
工,work
住处,residence
羞愧,ashamed
掉下去,Fall
雷达,radar
為何,Why
能干,capable
開門,Open the door
应对,response
有毒,poisonous
歌剧,opera
这行,This line
作弊,Cheating
外星,Alien
一回,once
雪莉,Shirley
涴,dirty
贝利,Bailey
有的是,Some are
起立,stand up
烦人,Annoying
戈登,Gordon
打听,inquire about
耶稣基督,Jesus Christ
别处,elsewhere
叫声,Call
常见,common
多点,More
总能,Always
不但,Not only
大腿,thigh
夹克,jacket
芬奇,Finch
增长,increase
最美,The most beautiful
矮,short
软弱,weak
忍耐,endure
水中,In the water
祥,Xiang
剪刀,Scissors
给你个,Give you a
曾經,Once
受傷,Hurt
星期四,Thursday
局里,Bureau
多余,Redundant
军方,military
色,color
石,stone
不夠,Not enough
误解,misunderstanding
盿,cage
每天晚上,Every night
无视,Ignore
嗷,Oh
之名,Name
烹饪,cooking
水面,water surface
唐娜,Donna
外国人,Foreigners
清晨,early morning
套房,suite
只用,Only
老太太,old lady
朗,Lang
嚴重,severe
快进来,Come in
摩西,Moses
咩,Meow
撒旦,Satan
擁有,Possession
邀,invite
喷,spray
囉,Yeah
救人,Save people
能带,Energy Band
脸色,Face
闯进,Break In
流浪汉,tramp
隐形,Invisibility
人间,world
海外,overseas
系列,series
目光,look
一切正常,Everything is OK
悬崖,cliff
盽,Pen
沉重,heavy
浑身,Whole body
羞耻,shame
宁可,rather
第一位,First place
求救,Help
電視,Television
已有,Already have
精子,sperm
土耳其,Türkiye
很帅,Very handsome
范,Fan
入睡,Falling asleep
侄女,niece
比特,Bit
悲哀,sorrow
握,grip
已婚,Married
打人,Beating
佩服,admire
以防万一,in case
设定,set up
很重,Very heavy
匿名,anonymous
人体,human body
挖掘,Digging
爸爸妈妈,Mom and Dad
几,Several
先知,prophet
同伙,Accomplice
发觉,find
大众,public
贪婪,greedy
水晶,crystal
花花公子,playboy
七点,Seven o'clock
鲍尔,Bauer
抢走,Snatch
道别,Farewell
笔记本,notebook
裁判,referee
蝙蝠侠,Batman
和尚,Monk
携带,carry
逃出来,Escape
别以为,Don't think
沃克,Walker
填,fill
男爵,baron
佢,he
补充,Replenish
技能,Skill
喝完,Finish drinking
雞,chick
为什,Why
妖怪,monster
史上,History
别太,Don't be too
绿,green
汽水,Soda
鸟儿,Birds
救出,rescue
无知,ignorance
菜单,menu
溜,slip
斯坦,Stan
中断,Interrupt
有钱人,Rich people
匹配,match
星际,interstellar
赔,pay
發,send
到手,Get
新年,new year
录像带,video tape
我带,I bring
创伤,trauma
一分钱,penny
抗拒,resist
通电话,Talk on the phone
卢克,Luke
高速公路,highway
一站,One stop
听从,obey
忍,Tolerate
援助,assistance
维亚,Via
劳伦斯,Lawrence
预计,Expected
泰国,Thailand
幸存,Survival
毕,complete
趟,trip
唤醒,wake
请客,dinner
腐败,corruption
气体,gas
恶劣,bad
腐烂,rot
失,lose
喘气,pant
委,Commission
砛,砛
主厨,Chef
社會,society
物理,physics
鸡尾酒,cocktail
扮,Play
鳄鱼,Crocodile
战略,strategy
跳下去,Jump down
失礼,Discourteous
乐,happy
管道,pipeline
催,urge
音乐会,concert
紈,南
收看,Watch
待会,Later
永久,permanent
困住,Trapped
墙壁,wall
妮娜,Nina
梦里,In Dreams
己,Self
货物,goods
工作人员,Staff
通缉,wanted
跑道,track
轻轻,lightly
遗传,Genetics
借用,borrow
哪個,Which
扔下,Drop
帕特里克,Patrick
不难,Not difficult
艾琳,Irene
婚,marriage
丢人,Shame
用心,Careful
分配,distribute
坚信,firmly believe
五点,Five o'clock
诱饵,Bait
车厢,car
真对不起,I'm so sorry
传闻,rumor
風,wind
从未见过,Never seen
玩弄,play
设计师,Designer
这段,This paragraph
里斯,Reese
势力,power
天真,Innocent
摩尔,Moore
高贵,noble
雇用,employment
乔纳森,Jonathan
思维,thinking
除,remove
多多,Duoduo
真该,It's right
先来,Come first
视为,Considered as
连环,Serial
一幕,A scene
咁,so
刹车,brake
很痛,Very painful
发烧,fever
进屋,Enter the house
派出,send
往后,later
治療,treatment
阴道,vaginal
修道院,monastery
琼,Joan
热闹,lively
老人家,Elderly
教导,teach
传来,Coming
屁眼,Asshole
应当,should
宾馆,Hotels
救世主,Savior
密室,Chamber of Secrets
选中,Select
权,right
一首歌,A song
蠈,蠈
赞同,Agree
一票,One Ticket
编剧,screenwriter
信徒,believer
放假,Have a holiday
质量,quality
水管,water pipe
监督,Supervision
无效,invalid
得救,Salvation
大爷,uncle
奋斗,struggle
别来,Don't come
点钟,o'clock
粘,stick
拳,fist
你別,Don't
发火,Getting angry
布置,Layout
走私,smuggling
玩家,Player
五千,Five thousand
前任,predecessor
着手,Get started
金色,gold
爾,可
辣,hot
柠檬,lemon
海豹,seal
口香糖,chewing gum
活著,Alive
物体,object
羽毛,feather
诊断,diagnosis
丧失,Loss
死因,cause of death
刺杀,Assassination
喘,asthma
好几年,Several years
威尼斯,Venice
珍珠,pearl
制止,stop
加油站,Gas station
固执,Stubborn
资产,assets
最强,Strongest
拘捕,arrest
同時,At the same time
星矢,Seiya
凉,cold
一层,layer
本性,nature
罢工,strike
任命,appointment
我付,I pay
庞大,huge
證據,Evidence
箭,arrow
现身,Appear
完事,Finished
分裂,Split
重力,gravity
除此之外,besides
服役,service
体育,physical education
掩饰,cover up
场合,occasion
账单,bill
爱过,Love
蒂姆,Tim
痛快,happy
九点,Nine o'clock
躲避,Avoid
本质,nature
一秒钟,One second
没准,Maybe
融入,Integration
坦,Tan
走開,Go away
谎,lie
电源,power supply
坚定,firm
锻炼,exercise
芝士,Cheese
拦住,stop
可行,feasible
独一无二,unique
事是,The thing is
並且,And
大衣,Coat
神盾,Aegis
低调,Low profile
贿赂,bribe
操控,Control
深处,deep
过份,Excessive
说得好,Well said
俄语,Russian
镇子,Town
德军,German Army
疫苗,vaccine
节日,festival
罢,stop
凯伦,Karen
玩完,Finished
事后,afterwards
活儿,Work
古代,Ancient
胸口,Chest
聰明,Smart
脱身,Get out
菲,Philippines
一是,"First,"
华丽,gorgeous
值钱,valuable
罪人,sinner
镇定,Calm
运转,Operation
周二,Tuesday
话说回来,Back to the point
禮物,gift
好转,Improvement
巴特,Bart
出价,bid
听证会,Hearing
哄,coax
泰迪,Teddy
目睹,witness
层,layer
太高兴,So happy
杰西卡,Jessica
相对,relatively
催眠,Hypnosis
弱,weak
巴基斯坦,Pakistan
安吉拉,Angela
心碎,Heartbreak
转告,Tell
全美,All America
自殺,Suicide
蠢事,Stupidity
界,boundary
识别,Identification
克雷格,Craig
你行,You can
享用,Enjoy
關於,About
东方,East
腰,waist
装满,Fill
袋,bag
我知,I know
演唱会,Concert
保卫,defend
三分钟,Three minutes
脚步,pace
均,all
八点,Eight o'clock
逃犯,Fugitive
营,camp
记着,Remember
肺,lung
三人,Three people
录,record
休,stop
重视,Pay attention to
嫂子,sister in law
发给,Send to
三十,thirty
圣人,saint
早饭,breakfast
精确,accurate
海洛因,Heroin
运输,transportation
中校,Lieutenant Colonel
打劫,Robbery
微軟雅,Slightly soft and elegant
澳洲,Australia
自称,Claim to be
两条,Two
髒,Dirty
平凡,ordinary
棕色,brown
小鸡,chick
沉,Shen
出身,origin
趕緊,Hurry up
庄园,manor
商品,commodity
厩,stable
采取行动,Take Action
正想,Just thinking
博,Bo
预定,Reserve
嫌疑,Suspect
钞票,banknote
后天,the day after tomorrow
沒用,No use
拳头,fist
别烦,Don't bother
幾乎,Almost
传递,transfer
泰德,Ted
口交,oral sex
不接,No
明日,tomorrow
装作,Pretend
粉碎,Crushing
敌军,enemy
外遇,Affair
细菌,bacteria
虽,although
当着,When
人情,Favors
盛大,grand
容忍,tolerate
我什麼,What am I
鉴于,Given that
攻擊,Attack
发现自己,Discover Yourself
誒,Say
客房,Rooms
畏,fear
效忠,Allegiance
批评,criticize
形势,situation
不动,No movement
永生,eternal life
看书,Reading
推测,Speculation
继承人,Heir
注册,register
上演,Performed
来讲,To speak
乐园,paradise
群,group
超能力,Superpowers
亨特,Hunter
記錄,record
可真,It's true
哥伦比亚,Colombia
卷入,Involvement
致敬,pay tribute
核弹,Nuclear Bomb
依赖,rely
甜美,sweet
珨,Yes
穝,南
往往,often
毒贩,Drug Dealer
蘑菇,mushroom
組織,organization
呼唤,call
客氣,Polite
放大,enlarge
保障,Assure
保,Save
路边,roadside
還給,Return
爱好,Hobby
上空,Above
答應,Response
新郎,bridegroom
撞击,Impact
打造,Build
会带,Will bring
赢家,Winner
各个,each
昆虫,insect
六点,Six o'clock
厚,thick
感恩节,Thanksgiving Day
德里,Delhi
垃圾桶,garbage can
行走,walk
出租,rent
第一步,first step
扯淡,Bullshit
宽,Width
开走,Drive Away
班机,Flights
變,Change
不干,No
深度,depth
真诚,sincere
莱恩,Ryan
女孩儿,Girls
铃声,ring
精神病院,mental hospital
念头,idea
维拉,Vera
卫,guard
這就,That's it
胜过,Outperform
一方,one party
直至,Until
焦虑,anxiety
没门,No way
阻碍,Obstacles
流浪,Wandering
被害人,victim
生涯,career
胆子,courage
那本书,The Book
拖车,trailer
葡萄,Grape
神话,myth
